Combinação,Acertos
"1,3,4,5,6,9,10,12,13,14,15,16,17,18,19,20,21,23,24,25",70
"1,2,3,4,5,7,8,9,10,11,12,13,15,16,18,19,20,21,22,25",68
"1,2,3,4,6,7,9,10,11,12,13,15,17,18,19,20,21,23,24,25",67
"3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,21,22,24,25",66
"1,2,3,4,8,9,10,11,12,13,14,15,17,18,20,21,22,23,24,25",63
"2,3,4,5,6,7,8,9,10,11,12,14,16,17,18,20,21,22,24,25",62
"2,4,5,6,7,8,9,10,11,12,13,14,16,18,19,20,22,23,24,25",61
"1,2,3,5,6,7,9,10,12,13,15,16,17,18,19,20,21,23,24,25",60
"1,2,3,4,5,6,7,8,9,10,12,13,14,15,17,18,21,22,24,25",59
"1,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19,20,22,24,25",59
"1,2,3,4,5,7,8,9,10,11,12,14,15,16,18,20,22,23,24,25",59
"1,2,3,4,5,7,10,11,12,13,14,15,16,17,19,20,21,23,24,25",58
"1,2,3,4,5,6,8,10,11,12,13,14,16,18,19,20,22,23,24,25",57
"1,2,3,4,6,7,8,9,11,12,13,14,15,17,18,19,20,22,23,25",57
"1,2,3,4,5,7,10,11,12,13,14,15,17,18,19,20,21,22,24,25",56
"1,2,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,25",56
"1,2,3,4,6,7,8,9,10,11,13,14,15,17,18,19,22,23,24,25",56
"1,2,4,5,6,8,9,10,11,12,13,14,15,16,19,20,21,23,24,25",56
"1,3,5,6,7,8,9,10,11,12,14,15,17,18,19,20,21,23,24,25",55
"1,2,3,4,6,7,9,10,11,12,13,14,16,17,18,19,20,23,24,25",54
"2,3,4,6,7,8,9,10,12,14,15,16,18,19,20,21,22,23,24,25",54
"1,2,3,4,5,6,8,9,10,11,12,13,15,17,18,20,21,23,24,25",53
"2,3,4,5,6,7,9,10,11,13,14,15,16,17,19,20,21,22,24,25",53
"2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,22,23,25",53
"1,2,3,4,6,7,9,10,11,12,13,15,17,18,19,20,22,23,24,25",52
"1,2,3,4,6,9,10,12,13,14,15,17,18,19,20,21,22,23,24,25",52
"1,2,3,5,7,8,10,11,13,14,15,17,18,19,20,21,22,23,24,25",52
"1,2,3,4,5,6,7,8,9,10,11,12,14,16,17,18,19,22,23,25",52
"1,2,3,4,5,8,10,11,12,13,14,15,17,18,20,21,22,23,24,25",51
"2,3,4,5,6,7,8,9,10,12,13,14,16,18,20,21,22,23,24,25",51
"2,3,4,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21,24,25",51
"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,19,21,23,24",51
"1,2,3,4,5,6,7,8,9,10,11,13,15,16,18,19,22,23,24,25",50
"1,2,3,5,6,7,8,9,10,12,13,14,15,16,17,20,21,22,24,25",49
"1,2,3,5,6,7,8,10,12,13,14,15,16,17,18,20,21,22,23,24",49
"1,2,3,4,5,6,7,9,13,14,16,17,18,19,20,21,22,23,24,25",49
"1,2,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25",48
"2,4,5,6,7,8,9,10,12,13,14,15,16,18,19,20,21,22,23,24",48
"1,2,3,4,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21,25",48
"1,2,3,4,5,6,8,9,10,11,12,13,16,19,20,21,22,23,24,25",48
"1,2,3,4,5,6,8,9,11,12,13,14,15,17,19,20,21,22,24,25",48
"1,2,3,4,6,8,9,12,13,15,16,17,18,19,20,21,22,23,24,25",48
"1,2,3,5,6,7,8,9,10,12,13,14,15,16,18,19,20,21,24,25",48
"1,2,3,5,7,9,10,11,12,13,15,16,17,18,19,20,21,23,24,25",47
"2,3,4,5,7,8,10,11,12,13,14,15,16,18,20,21,22,23,24,25",47
"3,4,5,6,7,8,9,10,11,12,13,16,18,19,20,21,22,23,24,25",47
"1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,18,21,22,24,25",47
"2,3,4,5,7,8,9,10,11,12,14,15,16,18,19,20,21,22,23,24",47
"1,3,4,6,7,8,9,10,11,12,14,15,16,17,19,20,21,22,23,24",47
"1,2,3,4,6,7,9,10,11,12,13,17,18,19,20,21,22,23,24,25",46
